seq_run_id,lib_id,seq_run_id,lib_id
220830_M07030_0018_000000000-K5GRP,43496_S1_MiSeq_220830,220916_M07030_0019_000000000-KPHR,43583_S1_MiSeq_220916
,43517_S2_MiSeq_220830,,43491_S2_MiSeq_220916
,43564_S3_MiSeq_220830,,43464_S3_MiSeq_220916
,43590_S4_MiSeq_220830,,43581_S4_MiSeq_220916
,43488_S5_MiSeq_220830,,43555_S5_MiSeq_220916
,43523_S6_MiSeq_220830,,43553_S6_MiSeq_220916
,43626_S7_MiSeq_220830,,43559_S7_MiSeq_220916
,43533_S8_MiSeq_220830,,43471_S8_MiSeq_220916
,43582_S9_MiSeq_220830,,43569_S9_MiSeq_220916
,43579_S10_MiSeq_220830,,43572_S10_MiSeq_220916
,43472_S11_MiSeq_220830,,43530_S11_MiSeq_220916
,43586_S12_MiSeq_220830,,43522_S12_MiSeq_220916
,43486_S13_MiSeq_220830,,43515_S13_MiSeq_220916
,43469_S14_MiSeq_220830,,43508_S14_MiSeq_220916
,43566_S15_MiSeq_220830,,43541_S15_MiSeq_220916
,43498_S16_MiSeq_220830,,43514_S16_MiSeq_220916
,43504_S17_MiSeq_220830,,43479_S17_MiSeq_220916
,43558_S18_MiSeq_220830,,43544_S18_MiSeq_220916
,43550_S19_MiSeq_220830,,43629_S19_MiSeq_220916
,43591_S20_MiSeq_220830,,43567_S20_MiSeq_220916
,43501_S21_MiSeq_220830,,43473_S21_MiSeq_220916
,43519_S22_MiSeq_220830,,43489_S22_MiSeq_220916
,43528_S23_MiSeq_220830,,43568_S23_MiSeq_220916
,43493_S24_MiSeq_220830,,43465_S24_MiSeq_220916
,43623_S25_MiSeq_220830,,43535_S25_MiSeq_220916
,43554_S26_MiSeq_220830,,43482_S26_MiSeq_220916
,43503_S27_MiSeq_220830,,43540_S27_MiSeq_220916
,43577_S28_MiSeq_220830,,43474_S28_MiSeq_220916
,43518_S29_MiSeq_220830,,43580_S29_MiSeq_220916
,43495_S30_MiSeq_220830,,43557_S30_MiSeq_220916
,43526_S31_MiSeq_220830,,43506_S31_MiSeq_220916
,43468_S32_MiSeq_220830,,43484_S32_MiSeq_220916
,43490_S33_MiSeq_220830,,43485_S33_MiSeq_220916
,43505_S34_MiSeq_220830,,43478_S34_MiSeq_220916
,43502_S35_MiSeq_220830,,43546_S35_MiSeq_220916
,43536_S36_MiSeq_220830,,43494_S36_MiSeq_220916
,43556_S37_MiSeq_220830,,43584_S37_MiSeq_220916
,43525_S38_MiSeq_220830,,43497_S38_MiSeq_220916
,781-ENEG_S39_MiSeq_220830,,43588_S39_MiSeq_220916
,43476_S40_MiSeq_220830,,43627_S40_MiSeq_220916
,43527_S41_MiSeq_220830,,43516_S41_MiSeq_220916
,43578_S42_MiSeq_220830,,43573_S42_MiSeq_220916
,43499_S43_MiSeq_220830,,43463_S43_MiSeq_220916
,43513_S44_MiSeq_220830,,43475_S44_MiSeq_220916
,43538_S45_MiSeq_220830,,43561_S45_MiSeq_220916
,43575_S46_MiSeq_220830,,43589_S46_MiSeq_220916
,43628_S47_MiSeq_220830,,43509_S47_MiSeq_220916
,43520_S48_MiSeq_220830,,43461_S48_MiSeq_220916
,777-ENEG_S49_MiSeq_220830,,43534_S49_MiSeq_220916
,784-ENEG_S50_MiSeq_220830,,43549_S50_MiSeq_220916
,43529_S51_MiSeq_220830,,43542_S51_MiSeq_220916
,43624_S52_MiSeq_220830,,43570_S52_MiSeq_220916
,43510_S53_MiSeq_220830,,43524_S53_MiSeq_220916
,43521_S54_MiSeq_220830,,43487_S54_MiSeq_220916
,43545_S55_MiSeq_220830,,43470_S55_MiSeq_220916
,43562_S56_MiSeq_220830,,778-ENEG_S56_MiSeq_220916
,43547_S57_MiSeq_220830,,43604_S57_MiSeq_220916
,43585_S58_MiSeq_220830,,43601_S58_MiSeq_220916
,43477_S59_MiSeq_220830,,43618_S59_MiSeq_220916
,43466_S60_MiSeq_220830,,43611_S60_MiSeq_220916
,43492_S61_MiSeq_220830,,43596_S61_MiSeq_220916
,43560_S62_MiSeq_220830,,43600_S62_MiSeq_220916
,43587_S63_MiSeq_220830,,43617_S63_MiSeq_220916
,43574_S64_MiSeq_220830,,43613_S64_MiSeq_220916
,780-ENEG_S65_MiSeq_220830,,43606_S65_MiSeq_220916
,43625_S66_MiSeq_220830,,43608_S66_MiSeq_220916
,43539_S67_MiSeq_220830,,43602_S67_MiSeq_220916
,43532_S68_MiSeq_220830,,43621_S68_MiSeq_220916
,43537_S69_MiSeq_220830,,43614_S69_MiSeq_220916
,43511_S70_MiSeq_220830,,783-ENEG_S70_MiSeq_220916
,43483_S71_MiSeq_220830,,43609_S71_MiSeq_220916
,43480_S72_MiSeq_220830,,43598_S72_MiSeq_220916
,43571_S73_MiSeq_220830,,43594_S73_MiSeq_220916
,43563_S74_MiSeq_220830,,43599_S74_MiSeq_220916
,43512_S75_MiSeq_220830,,782-ENEG_S75_MiSeq_220916
,43543_S76_MiSeq_220830,,43612_S76_MiSeq_220916
,43576_S77_MiSeq_220830,,43607_S77_MiSeq_220916
,43460_S78_MiSeq_220830,,43593_S78_MiSeq_220916
,43551_S79_MiSeq_220830,,43616_S79_MiSeq_220916
,43481_S80_MiSeq_220830,,43620_S80_MiSeq_220916
,43500_S81_MiSeq_220830,,43619_S81_MiSeq_220916
,779-ENEG_S82_MiSeq_220830,,43603_S82_MiSeq_220916
,43507_S83_MiSeq_220830,,43597_S83_MiSeq_220916
,43552_S84_MiSeq_220830,,43610_S84_MiSeq_220916
,43531_S85_MiSeq_220830,,43622_S85_MiSeq_220916
,43548_S86_MiSeq_220830,,43592_S86_MiSeq_220916
,43565_S87_MiSeq_220830,,43605_S87_MiSeq_220916
,43467_S88_MiSeq_220830,,43595_S88_MiSeq_220916
,43462_S89_MiSeq_220830,,43615_S89_MiSeq_220916
