"","occurrenceID","bibliographicCitation","materialSampleID","eventDate","decimalLatitude","decimalLongitude","scientificName","organismQuantity","organismQuantityType","sampleSizeValue","sampleSizeUnit","associatedSequences","basisOfRecord","locationID","recordedBy","country","datasetID","occurrenceStatus","minimumDepthInMeters","maximumDepthInMeters","language","month","year","taxonID","scientificNameID","kingdom","phylum","class","order","family","genus"
"1","22-SAB24.EDNA.001-COI-Micr-1",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"2","22-SAB24.EDNA.001-COI-Micr-2",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",754,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"3","22-SAB24.EDNA.001-COI-Micr-3",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Micromonas_pusilla",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,134564,"urn:lsid:marinespecies.org:taxname:134564","Plantae",NA,"Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas"
"4","22-SAB24.EDNA.001-COI-Scom-4",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Scomber_scombrus",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,127023,"urn:lsid:marinespecies.org:taxname:127023","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber"
"5","22-SAB24.EDNA.001-COI-Lizz-5",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Lizzia_blondina",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,117345,"urn:lsid:marinespecies.org:taxname:117345","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Rathkeidae","Lizzia"
"6","22-SAB24.EDNA.001-COI-Ophi-6",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Ophiura_robusta",9,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","present",85,85,"en",8,2024,124933,"urn:lsid:marinespecies.org:taxname:124933","Animalia","Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophiura"
"7","22-SAB24.EDNA.001-COI-Chae-7",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Chaetozone_setosa",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,129955,"urn:lsid:marinespecies.org:taxname:129955","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Chaetozone"
"8","22-SAB24.EDNA.001-COI-Kurt-8",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Kurtiella_bidentata",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,345281,"urn:lsid:marinespecies.org:taxname:345281","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Kurtiella"
"9","22-SAB24.EDNA.001-COI-Dorv-9",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Dorvillea_kastjani",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130006,"urn:lsid:marinespecies.org:taxname:130006","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Dorvillea"
"10","22-SAB24.EDNA.001-COI-Dorv-10",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Dorvillea_kastjani",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,130006,"urn:lsid:marinespecies.org:taxname:130006","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Dorvillea"
"11","22-SAB24.EDNA.001-COI-Sola-11",NA,"SAB24.EDNA.001",2024-08-08,46.04525,-59.0925,"Solaster_endeca",0,"DNA sequence reads",NA,NA,"In progress for NCBI","materialSample","SAB_16","Nick Jeffery | Katie Thistle | Ryan Stanley | Harri Pettitt-Wade","Canada","DFO-MCT-SAB-GUL-FUN-2024","absent",85,85,"en",8,2024,124160,"urn:lsid:marinespecies.org:taxname:124160","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster"
