Term, Definition
Abiotic," physical, chemical, and other non-living environmental factors."
Absolute quantification (qPCR standard curve method), quantification method to determine the exact concentration of a target DNA product by relating the quantification cycle (Cq) value to a standard curve to extrapolate a value.
Aliquot, a portion of a total amount of a solution or suspension.
Amplicon, a piece of DNA or RNA that is the product of replication events. The result of using amplification methods such as PCR.
Amplicon length, the length of a specific amplicon provided in terms of total number of base pairs.
Amplification bias (primer bias)," differences in PCR amplification efficiencies between different DNA targets (e.g., different species) such that during each PCR cycle, different species will amplify at different rates based on their affinity to the PCR primers being used. This can be a common problem in metabarcoding when dealing with universal primers."
Amplification curve, a plot of fluorescence signal versus qPCR cycle number. Plots are characterized by the point in time during cycling when amplification of a PCR product is first detected and how it accumulates during an experiment.
Assay," an investigative procedure (test) for qualitatively assessing or quantitatively measuring the presence, amount, or functional activity of a target entity (e.g., a qPCR assay)."
Barcode / barcoding marker," a short and standardized gene region used to identify an organism to a taxonomic category (e.g., species)."
Base pair (bp)," a pair of complementary bases in a double-stranded nucleic acid molecule, consisting of a purine in one strand linked by hydrogen bonds to a pyrimidine in the other. Can be used as a unit of measure to describe the length of DNA."
Biodiversity," the variability among living organisms from all sources including terrestrial, marine, and other aquatic ecosystems; and the ecological complexes that they form including the diversity within and between species, and ecosystems."
Bioinformatic pipeline," bioinformatic analyses involving shepherding large files through a series of transformations, called a pipeline or a workflow."
Bioinformatics, the development and use of software to study genetic and protein sequence data.
Biotic," relating to or resulting from living things, especially in their ecological relations."
Blank," a negative control sample that is inserted into the eDNA workflow. The primary purpose of blanks is to trace sources of artificially introduced contamination. The source of contamination introduced in the field or laboratory can be deduced by comparing different blank results (e.g., field blank, extraction blank)."
Bulk sample, a sample resulting from the planned aggregation or the combination of sample units.
Community approaches," a study design method that uses universal primers for detecting a given focal group of organisms, typically achieved through DNA metabarcoding."
Contamination (cross-contamination)," accidental introduction of undesired material in a sample that may make eDNA results uncertain in terms of the absence or presence of a species. Contamination can occur at any stage of the eDNA workflow (e.g., sample collection, filtration, preservation, extraction, or analysis)."
Controls:,
Internal positive control (IPC)," consists of a unique DNA template (i.e., one not found in a test sample) and a pair of specific primers added to the isolate or purified sample. An IPC can be incorporated at any stage in the eDNA workflow (during extraction, purification and/or amplification) and is amplified with the target using its own unique primers/probes. An IPC is used to detect technical problems during DNA extraction, purification, and/or amplification and is used to detect inhibition in PCR. Also called an Internal Amplification Control (IAC) when used during qPCR, it is critical component used to detect PCR inhibition."
Negative control, a sample that contains all essential components of an experimental treatment except the analyte being tested. Also see blanks.
Positive control, a control in a treatment that is known to produce results. They are used to assess the validity and reliability of eDNA results by ensuring that procedures in the eDNA workflow performed as expected and / or as a standard to identify deviations from expected results.
qPCR positive control, a sample typically containing target DNA of interest that is known to amplify in a qPCR reaction. A qPCR positive control determines whether or not the PCR reaction conditions are optimal. This control is expected to produce a value within a predetermined range.
Conventional monitoring methods," species monitoring that relies on physical identification of species by visual surveys, counting of individuals in the field or using distinct morphological characters. This can at times require taxonomic expertise to identify organisms difficult to classify using non-genetic methods."
Copy number, the number of copies of a DNA fragment.
Cq (quantification cycle), the qPCR cycle number at which the fluorescence generated within a reaction crosses the arbitrary fluorescence threshold value. A lower Cq correlates with a higher amount of target DNA in a sample. Also referred to as threshold cycle (Ct).
CRISPR/Cas," a genome editing system derived from bacteria that allows genetic material to be added, removed, or altered at a particular target sequence in the genome."
Decontamination," the process of removing any potential external DNA / contaminant from any eDNA equipment, typically involves bleaching materials."
Detection," an eDNA result that meets the detection criteria parameters, indicating the presence of target eDNA."
Detection probability, a statistical method that utilizes repeated sampling of the same site to estimate the true occupancy of a particular species / target in a given site. Detection probabilities can only be determined after a study.
Detection threshold, the point at which a qPCR reaction reaches a fluorescent intensity above background levels (see quantification cycle).
DNA extraction, a process of isolating and purifying DNA from any given sample using a combination of physical and chemical methods.
DNA metabarcoding, a molecular method allowing for mass DNA sequencing and simultaneous molecular identification of multiple taxa from a complex sample. Typically involves one or more sets of universal PCR primers to amplify DNA barcodes from mass collections of organisms or from eDNA.
Droplet digital PCR (ddPCR), a method for performing PCR that is based on water-oil emulsion droplet technology enabling the partitioning of a single PCR reaction into thousands of independent amplification reactions. Methods allow for the absolute quantification of target DNA.
eDNA end user," a manager, client, or requestor of eDNA services who ultimately uses or is intended to ultimately use eDNA results in various contexts, such as conservation and management."
eDNA service provider," is the overall project manager responsible for communicating results to the requester (the end user). A service provider may include government or non-government researchers or practitioners, or third-party consultants."
eDNA shedding rate," the rate at which an organism releases its genetic material (DNA) into an environment. Shedding rates can be impacted by seasonality, growth rates, reproduction and metabolic rates."
Elution," to extract one material (e.g., DNA) from another, usually by means of a solvent (e.g., water, buffer)."
Environmental DNA (eDNA)," DNA extracted from environmental samples (e.g., water, biofilms, air, sediment, gut contents, feces) and analyzed to infer the presence or absence of DNA from target organism(s)."
Environmental RNA (eRNA)," RNA extracted from environmental samples (e.g., water, biofilms, air, sediment, gut contents, feces) and analyzed to infer the presence or absence of RNA from target organism(s)."
Extraction blank, a type of negative control sample that is included during the DNA extraction process. An extraction blank is manipulated in the same way as all the other samples during the extraction process. Results from an extraction blank show laboratory method sources of contamination.
False negative," failing to detect the eDNA of a species within an environmental sample taken from an area where that species actually is present. Potential causes include sampling error (i.e., the eDNA was not captured in the environmental samples collected), degradation of eDNA from improper handling and/or storage, inefficient DNA extraction from environmental samples, failure of the qPCR assay to be as sensitive as required. Also known as Type 2 error."
False positive," recording the detection of eDNA of a species within an environmental sample taken from an area where that species actually is absent. Potential causes include misinterpretation of qPCR results, undetected contamination, or failure of the qPCR assay to be as specific as required. Also known as Type 1 error."
Field blank," a type of negative control processed in the field that is theoretically free from any DNA. A field blank commonly consists of DNA-free water that is manipulated in the same way as all the other samples any potential contamination occurring. Results from a field blank, if positive, highlight potential sources of contamination(with the exception of collecting eDNA) in an attempt to characterize"
Field replicate," separate sample units collected as close as possible to the same point in space and time, stored in separate containers, and analyzed independently."
Filter replicate, filter replicates are obtained by cutting filters in pieces and testing pieces separately.
Fluorescence, emission of light in the presence of target DNA that is produced by DNA intercalating agents / dyes or fluorescently labelled probes.
gBlock, synthetically made double-stranded DNA fragments that are used as qPCR standards.
Genome, the entire DNA of an organism.
Good Laboratory Practices (GLP)," is a quality system of management controls and conditions for research laboratories and organizations to ensure the uniformity, consistency, reliability, reproducibility, quality, and integrity of products. It is intended to promote the quality and validity of test data and improve the acceptance of data generated in adherence to its principles (OECD 1998)."
High throughput sequencing (HTS), see next-generation sequencing
in silico, conducted or produced by means of computational modeling or simulation.
in situ, in its original place.
in vitro," performed or taking place in a test tube, culture dish, or elsewhere outside a living organism."
Inconclusive detection," an eDNA detection that does not meet the detection criteria parameters, thus indicating that further testing may be required."
Inhibition / inhibitor," non-target substances from the environmental system (e.g., total suspended solids) that remain present in the sample at collection and through DNA extraction. Inhibitors are typically co-extracted with the target DNA and inhibit the PCR/qPCR reaction. Failure to test / characterize the presence of inhibition in samples can result in false negatives. PCR inhibition is identified using an Internal Positive Control (IPC)."
